년월, 한국인남 , 한국인여 , 외국인남 , 외국인여 , 세대수 , 세대당인구 , 데이터기준일자 
2006-12,257090,247918,1611,1055,179593,2.81,2020-06-30
2007-12,257385,248170,1841,1288,183065,2.76,2020-06-30
2008-12,258441,249678,2211,1475,187079,2.75,2020-06-30
2009-12,259082,250393,2262,1606,190790,2.7,2020-06-30
2010-01,259331,250567,2275,1614,191163,2.67,2020-06-30
2010-02,259331,250479,2275,1614,191419,2.66,2020-06-30
2010-03,259082,250510,2287,1669,191504,2.66,2020-06-30
2010-04,259317,250723,2288,1668,191844,2.66,2020-06-30
2010-05,259372,250743,2268,1663,192135,2.65,2020-06-30
2010-06,259471,250917,2246,1652,192294,2.65,2020-06-30
2010-07,259583,250907,2299,1652,192470,2.65,2020-06-30
2010-08,259732,251047,2271,1650,192745,2.65,2020-06-30
2010-09,259814,251135,2337,1721,192904,2.65,2020-06-30
2010-10,261300,252881,2391,1757,195950,2.62,2020-06-30
2010-11,261422,253019,2391,1765,196168,2.62,2020-06-30
2010-12,261586,253169,2388,1765,196411,2.62,2020-06-30
2011-01,261717,253241,2383,1745,196607,2.62,2020-06-30
2011-02,261729,253293,2390,1740,196773,2.62,2020-06-30
2011-03,261612,253253,2445,1781,196911,2.61,2020-06-30
2011-04,261657,253382,2435,1797,197176,2.61,2020-06-30
2011-05,261662,253439,2527,1796,197331,2.61,2020-06-30
2011-06,261905,253595,2618,1786,197594,2.61,2020-06-30
2011-07,262066,253793,2671,1775,197846,2.61,2020-06-30
2011-08,262159,253910,2772,1800,197846,2.61,2020-06-30
2011-09,262259,254161,2870,1826,198415,2.6,2020-06-30
2011-10,262359,254180,2835,1829,198536,2.6,2020-06-30
2011-11,262474,254355,2856,1835,198843,2.6,2020-06-30
2011-12,262648,254440,2810,1818,199120,2.6,2020-06-30
2012-01,262745,254562,2796,1807,199237,2.6,2020-06-30
2012-02,262712,254610,2761,1813,199614,2.59,2020-06-30
2012-03,262751,254663,2810,1811,199850,2.59,2020-06-30
2012-04,262912,254756,2834,1834,200071,2.59,2020-06-30
2012-05,262926,254796,2727,1870,200266,2.59,2020-06-30
2012-06,262830,254793,2708,1862,200048,2.58,2020-06-30
2012-07,262897,254788,2671,1857,200601,2.58,2020-06-30
2012-08,262963,254893,2710,1898,200894,2.58,2020-06-30
2012-09,262987,254882,2716,1898,201033,2.58,2020-06-30
2012-10,263176,254976,2716,1899,201356,2.57,2020-06-30
2012-11,263664,255412,2743,1905,202023,2.57,2020-06-30
2012-12,263576,255337,2556,1876,202148,2.57,2020-06-30
2013-01,263705,255393,2519,1869,202320,2.57,2020-06-30
2013-02,263776,255438,2544,1879,202535,2.56,2020-06-30
2013-03,263648,255412,2540,1887,202805,2.56,2020-06-30
2013-04,263527,255429,2549,1874,203011,2.56,2020-06-30
2013-05,263438,255545,2562,1881,203199,2.55,2020-06-30
2013-06,263365,255610,2626,1887,203490,2.55,2020-06-30
2013-07,263320,255583,2640,1881,203704,2.55,2020-06-30
2013-08,263477,255733,2675,1922,204004,2.55,2020-06-30
2013-09,263356,255802,2713,1929,204069,2.54,2020-06-30
2013-10,263348,255901,2698,1944,204344,2.54,2020-06-30
2013-11,263449,256075,2699,1964,204628,2.54,2020-06-30
2013-12,263461,256006,2675,1951,204857,2.54,2020-06-30
2014-01,263533,256070,2677,1940,205026,2.53,2020-06-30
2014-02,263460,255888,2810,1963,205303,2.53,2020-06-30
2014-03,263346,255847,2824,1981,205545,2.53,2020-06-30
2014-04,263252,255859,2793,1979,205708,2.52,2020-06-30
2014-05,263021,255875,2794,2001,205831,2.52,2020-06-30
2014-06,262954,255911,2806,1990,206120,2.52,2020-06-30
2014-07,262953,256027,2866,1979,206388,2.51,2020-06-30
2014-08,262954,256077,2953,2006,206586,2.51,2020-06-30
2014-09,262796,256041,2962,2032,206756,2.51,2020-06-30
2014-10,262812,256064,2926,2023,207040,2.51,2020-06-30
2014-11,262922,256075,2937,2024,207188,2.5,2020-06-30
2014-12,263070,256298,2920,1988,207515,2.5,2020-06-30
2015-01,262766,255943,2954,1991,207420,2.5,2020-06-30
2015-02,262565,255765,2956,1994,207627,2.5,2020-06-30
2015-03,262386,255793,2959,2003,207799,2.49,2020-06-30
2015-04,262264,255710,2915,1985,207977,2.49,2020-06-30
2015-05,262401,255785,2931,1997,208274,2.49,2020-06-30
2015-06,262235,255669,2962,2014,208397,2.49,2020-06-30
2015-07,262216,255735,2988,2016,208724,2.48,2020-06-30
2015-08,262221,255745,2996,2059,208875,2.48,2020-06-30
2015-09,262240,255837,3061,2073,209234,2.48,2020-06-30
2015-10,262364,256080,3055,2081,209601,2.47,2020-06-30
2015-11,263130,257030,3031,2087,210595,2.47,2020-06-30
2015-12,262814,256770,3109,1941,210690,2.47,2020-06-30
2016-01,262630,256614,2981,2046,210798,2.46,2020-06-30
2016-02,262440,256462,2966,2042,211035,2.46,2020-06-30
2016-03,262209,256184,2963,2073,211156,2.46,2020-06-30
2016-04,261973,256179,2978,2097,211237,2.45,2020-06-30
2016-05,261918,256072,2964,2082,211417,2.45,2020-06-30
2016-06,261907,256140,2994,2043,211492,2.45,2020-06-30
2016-07,261879,256157,3016,2040,211708,2.45,2020-06-30
2016-08,261697,256077,3021,2062,211808,2.44,2020-06-30
2016-09,261675,256069,3086,2083,211852,2.44,2020-06-30
2016-10,261502,256011,3086,2099,211947,2.44,2020-06-30
2016-11,261342,255895,3178,2162,212082,2.44,2020-06-30
2016-12,261105,255670,3130,2125,212095,2.44,2020-06-30
2017-01,260917,255580,3097,2099,212206,2.43,2020-06-30
2017-02,260785,255209,3114,2139,212479,2.43,2020-06-30
2017-03,260430,254987,3098,2145,212571,2.42,2020-06-30
2017-04,260330,254925,3092,2141,212743,2.42,2020-06-30
2017-05,260181,254827,3107,2151,212840,2.42,2020-06-30
2017-06,260076,254793,3161,2131,212975,2.42,2020-06-30
2017-07,259933,254676,3201,2147,213079,2.42,2020-06-30
2017-08,259782,254518,3238,2170,213301,2.41,2020-06-30
2017-09,259662,254505,3290,2202,213450,2.41,2020-06-30
2017-10,259639,254484,3248,2176,213600,2.41,2020-06-30
2017-11,259626,254501,3273,2181,213767,2.41,2020-06-30
2017-12,259491,254341,3250,2134,214012,2.4,2020-06-30
2018-01,259167,254082,3258,2155,214121,2.4,2020-06-30
2018-02,258822,253628,3291,2202,214287,2.39,2020-06-30
2018-03,258604,253206,3284,2180,214385,2.39,2020-06-30
2018-04,258452,253067,3258,2184,214676,2.38,2020-06-30
2018-05,258361,252937,3250,2189,214905,2.38,2020-06-30
2018-06,258329,252859,3320,2187,215116,2.38,2020-06-30
2018-07,258153,252708,3344,2178,215303,2.37,2020-06-30
2018-08,258011,252610,3490,2256,215577,2.37,2020-06-30
2018-09,258001,252608,3571,2291,215855,2.37,2020-06-30
2018-10,257853,252548,3651,2320,216117,2.36,2020-06-30
2018-11,257838,252432,3674,2332,216366,2.36,2020-06-30
2018-12,257789,252224,3632,2300,216654,2.36,2020-06-30
2019-01,257790,252174,3642,2315,217173,2.35,2020-06-30
2019-02,257479,251998,3651,2374,217588,2.34,2020-06-30
2019-03,257332,251860,3651,2387,217972,2.34,2020-06-30
2019-04,257231,251833,3605,2362,218297,2.33,2020-06-30
2019-05,257075,251697,3600,2375,218619,2.33,2020-06-30
2019-06,256940,251597,3598,2357,218858,2.32,2020-06-30
2019-07,256896,251546,3625,2360,219150,2.32,2020-06-30
2019-08,256810,251439,3745,2435,219310,2.31,2020-06-30
2019-09,256594,251254,3842,2456,219516,2.34,2020-06-30
2019-10,256467,251195,3837,2432,219791,2.33,2020-06-30
2019-11,256335,251095,3803,2440,220024,2.31,2020-06-30
2019-12,256140,250885,3680,2316,220328,2.3,2020-06-30
2020-01,255926,250568,3700,2384,220526,2.3,2020-06-30
2020-02,255773,250389,3748,2419,221005,2.29,2020-06-30
2020-03,255465,250014,3705,2442,221633,2.28,2020-06-30
2020-04,255341,249868,3642,2392,222494,2.27,2020-06-30
2020-05,255144,249685,3634,2375,223115,2.31,2020-06-30
2020-06,254995,249466,3591,2346,223485,2.26,2020-06-30
